game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
BOC X STP 28-07-2017;1.0;2017-07-28;6.0;-4.0;-10.0;37.0;10.0;-7.0;-49.0;-67.0;-46.0;-25.0;-17.0;9.0;-10.0;-41.0;-21.0;-16.0;-7.0;57.0;27.0;-37.0;-75.0;-43.0;4.0;-34.0;-19.0;65.0;43.0;21.0;9.0;12.0;8.0;-34.0;37.0;-40.0;8.0;-34.0;-21.0;-2.0;-4.0;-13.0;;-8.0;-42.0;-23.0;-11.0;25.0;-3.0;23.0;100.0;95.0;61.0;41.0;28.0;53.0;6.0;9.0;-26.0;7.0;11.0;41.0;28.0;19.0;13.0;-68.0;-6.0;33.0;19.0;-20.0;49.0;37.0;12.0;8.0;2.0;5.0;6.0;9.0;10.0;11.0;-13.0;12.0;7.0;9.0;11.0;11.0;12.0;18.0;-29.0;-44.0;37.0;-9.0;6.0;20.0;0.0;16:30:00;-1.0;STP;BOC
ING X UNB 29-07-2017;1.0;2017-07-29;-10.0;6.0;1.0;-1.0;0.0;-25.0;-19.0;-9.0;-4.0;-1.0;-2.0;-6.0;-2.0;-3.0;39.0;15.0;-37.0;-14.0;-12.0;-16.0;-13.0;-14.0;-4.0;-66.0;-34.0;25.0;33.0;21.0;17.0;55.0;31.0;17.0;10.0;30.0;6.0;-4.0;-25.0;-49.0;-58.0;-42.0;;-17.0;-45.0;-21.0;-16.0;20.0;39.0;15.0;30.0;-22.0;-9.0;-4.0;4.0;-5.0;1.0;-5.0;42.0;-82.0;-52.0;-29.0;-16.0;-13.0;-5.0;-6.0;-42.0;-20.0;30.0;20.0;6.0;-5.0;-5.0;6.0;1.0;-5.0;-35.0;-8.0;-3.0;2.0;12.0;7.0;15.0;12.0;15.0;41.0;25.0;16.0;11.0;13.0;-23.0;12.0;-2.0;5.0;0.0;09:00:00;-1.0;UNB;ING
ARM X JAH 29-07-2017;1.0;2017-07-29;7.0;36.0;17.0;12.0;-18.0;-24.0;-8.0;-9.0;-10.0;-4.0;-2.0;10.0;19.0;29.0;19.0;78.0;-71.0;-10.0;-4.0;20.0;5.0;7.0;13.0;3.0;1.0;25.0;-25.0;-5.0;-2.0;31.0;16.0;22.0;86.0;-22.0;49.0;26.0;14.0;7.0;5.0;-1.0;20.0;-40.0;-27.0;-19.0;-14.0;-2.0;-11.0;7.0;53.0;2.0;11.0;17.0;8.0;-1.0;1.0;-1.0;31.0;-1.0;39.0;-47.0;-16.0;-11.0;-1.0;11.0;18.0;11.0;46.0;23.0;27.0;60.0;65.0;38.0;20.0;16.0;-31.0;-16.0;15.0;1.0;17.0;3.0;1.0;-3.0;-23.0;-45.0;-48.0;-14.0;-14.0;-7.0;-1.0;46.0;1.0;70.0;2.0;11:30:00;1.0;JAH;ARM
D98 X FUR 29-07-2017;0.0;2017-07-29;-3.0;4.0;5.0;10.0;8.0;10.0;2.0;2.0;3.0;4.0;-7.0;-3.0;-34.0;-22.0;-14.0;-5.0;-79.0;-40.0;-20.0;-8.0;35.0;26.0;-4.0;14.0;22.0;19.0;6.0;25.0;5.0;7.0;39.0;21.0;9.0;-4.0;5.0;6.0;-2.0;-1.0;9.0;10.0;;11.0;3.0;-4.0;-1.0;-33.0;-1.0;40.0;22.0;38.0;-46.0;-8.0;110.0;55.0;-50.0;12.0;-13.0;-4.0;-12.0;-35.0;-15.0;-8.0;-3.0;2.0;28.0;18.0;7.0;-13.0;5.0;5.0;2.0;-4.0;39.0;20.0;10.0;4.0;55.0;-42.0;-9.0;-13.0;-15.0;-11.0;23.0;12.0;5.0;11.0;9.0;3.0;1.0;-6.0;-1.0;0.0;1.0;11:30:00;1.0;FUR;D98
NUR X KAI 30-07-2017;0.0;2017-07-30;13.0;-33.0;-22.0;-13.0;116.0;67.0;70.0;38.0;19.0;-12.0;21.0;8.0;-45.0;-25.0;-12.0;13.0;6.0;66.0;79.0;51.0;34.0;29.0;3.0;11.0;-42.0;-18.0;-16.0;29.0;14.0;15.0;12.0;1.0;4.0;31.0;5.0;7.0;8.0;10.0;5.0;-4.0;-25.0;-35.0;-23.0;-16.0;-11.0;19.0;-3.0;-27.0;-7.0;49.0;23.0;66.0;68.0;81.0;51.0;31.0;15.0;9.0;-5.0;-7.0;-4.0;-6.0;-42.0;-12.0;13.0;10.0;14.0;9.0;10.0;4.0;20.0;10.0;4.0;2.0;-1.0;-42.0;-67.0;-42.0;-100.0;-27.0;-18.0;-25.0;-14.0;-23.0;-54.0;-77.0;-49.0;-33.0;-53.0;-50.0;-38.0;-25.0;3.0;09:30:00;1.0;KAI;NUR
HEI X AUE 30-07-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRE X DUI 30-07-2017;0.0;2017-07-30;4.0;5.0;-7.0;3.0;4.0;6.0;-24.0;47.0;36.0;22.0;19.0;5.0;19.0;78.0;42.0;-27.0;44.0;27.0;14.0;11.0;12.0;7.0;-17.0;7.0;7.0;-7.0;-1.0;-1.0;6.0;2.0;7.0;-29.0;-19.0;8.0;-11.0;-7.0;5.0;-30.0;25.0;-23.0;-50.0;33.0;18.0;12.0;9.0;7.0;-38.0;23.0;63.0;36.0;22.0;-29.0;-3.0;7.0;2.0;6.0;-28.0;-16.0;30.0;13.0;7.0;-19.0;-1.0;7.0;7.0;94.0;56.0;-6.0;37.0;21.0;12.0;20.0;17.0;9.0;50.0;25.0;-45.0;-20.0;4.0;-13.0;24.0;6.0;7.0;4.0;3.0;5.0;43.0;100.0;75.0;4.0;40.0;35.0;1.0;11:30:00;1.0;DUI;DRE
HKI X SAN 30-07-2017;2.0;2017-07-30;-5.0;3.0;4.0;-2.0;-3.0;-75.0;-44.0;-26.0;22.0;2.0;35.0;-7.0;73.0;40.0;-43.0;-11.0;-14.0;-10.0;-3.0;8.0;6.0;7.0;-12.0;2.0;-7.0;-10.0;-13.0;-4.0;-79.0;-48.0;-25.0;-17.0;-6.0;-10.0;10.0;8.0;7.0;37.0;31.0;10.0;25.0;8.0;7.0;7.0;-18.0;-3.0;18.0;8.0;11.0;17.0;10.0;4.0;26.0;14.0;90.0;61.0;5.0;40.0;26.0;79.0;45.0;60.0;39.0;32.0;10.0;-60.0;-35.0;-4.0;-16.0;-6.0;5.0;9.0;9.0;4.0;67.0;59.0;29.0;11.0;-4.0;-44.0;-29.0;-22.0;13.0;47.0;44.0;28.0;39.0;24.0;38.0;3.0;44.0;155.0;2.0;11:30:00;0.0;SAN;HKI
DUS X EBR 31-07-2017;2.0;2017-07-31;-10.0;51.0;29.0;-28.0;-9.0;-14.0;-11.0;-31.0;-100.0;-54.0;-36.0;-5.0;-17.0;-15.0;-4.0;25.0;7.0;7.0;9.0;10.0;2.0;-3.0;-2.0;48.0;25.0;20.0;-88.0;-51.0;-100.0;-100.0;-69.0;-68.0;-37.0;6.0;-13.0;-1.0;4.0;16.0;40.0;32.0;10.0;24.0;21.0;35.0;19.0;7.0;7.0;11.0;4.0;-7.0;-17.0;-39.0;-58.0;-41.0;-35.0;-25.0;7.0;-2.0;-70.0;-35.0;-13.0;-6.0;-3.0;24.0;20.0;12.0;-44.0;7.0;-20.0;45.0;-36.0;-6.0;33.0;-58.0;-19.0;-6.0;13.0;4.0;11.0;83.0;69.0;46.0;32.0;22.0;15.0;10.0;100.0;83.0;52.0;88.0;33.0;-5.0;2.0;16:30:00;0.0;EBR;DUS
HEI X AUE 09-08-2017;1.0;2017-08-09;-5.0;-6.0;16.0;11.0;12.0;3.0;7.0;-40.0;-51.0;-30.0;36.0;-2.0;5.0;-10.0;1.0;75.0;42.0;11.0;2.0;-5.0;-11.0;-36.0;6.0;-19.0;-85.0;-49.0;-28.0;-13.0;-12.0;-6.0;11.0;5.0;3.0;8.0;3.0;3.0;6.0;4.0;8.0;-40.0;-20.0;6.0;-5.0;-24.0;-13.0;10.0;-7.0;-11.0;-13.0;-7.0;-36.0;-23.0;-15.0;-5.0;-39.0;-23.0;12.0;-65.0;-50.0;-26.0;-10.0;-12.0;-15.0;-10.0;-12.0;-39.0;-29.0;7.0;-18.0;-12.0;-3.0;13.0;6.0;2.0;19.0;41.0;23.0;18.0;4.0;16.0;8.0;77.0;45.0;26.0;25.0;14.0;-11.0;30.0;15.0;-5.0;3.0;-25.0;2.0;16:00:00;1.0;AUE;HEI
UNB X HKI 04-08-2017;3.0;2017-08-04;10.0;13.0;16.0;5.0;-113.0;-62.0;86.0;25.0;-78.0;-33.0;-24.0;5.0;-50.0;46.0;17.0;13.0;11.0;91.0;57.0;33.0;94.0;24.0;-30.0;16.0;18.0;-82.0;-42.0;-53.0;-27.0;71.0;98.0;63.0;32.0;-13.0;-43.0;-31.0;-29.0;-23.0;-15.0;-38.0;;-4.0;5.0;6.0;-26.0;42.0;-6.0;-1.0;5.0;85.0;48.0;24.0;17.0;2.0;-7.0;-5.0;20.0;14.0;3.0;-2.0;3.0;-3.0;13.0;9.0;48.0;30.0;45.0;44.0;28.0;19.0;15.0;9.0;3.0;1.0;-1.0;25.0;14.0;8.0;32.0;9.0;30.0;16.0;9.0;5.0;28.0;10.0;-10.0;-17.0;-15.0;22.0;-20.0;-10.0;4.0;14:30:00;1.0;HKI;UNB
SAN X ING 04-08-2017;0.0;2017-08-04;-10.0;-5.0;-5.0;-6.0;-10.0;17.0;6.0;4.0;2.0;-9.0;-33.0;-8.0;-15.0;-14.0;-13.0;-4.0;-19.0;-16.0;-53.0;-29.0;-15.0;-5.0;-7.0;-1.0;1.0;38.0;21.0;16.0;11.0;-23.0;-4.0;-3.0;4.0;-11.0;-2.0;-2.0;-31.0;-30.0;-10.0;-2.0;0.0;39.0;17.0;5.0;-5.0;19.0;1.0;17.0;10.0;3.0;4.0;4.0;9.0;7.0;17.0;37.0;8.0;24.0;-22.0;-5.0;14.0;2.0;-7.0;-17.0;-11.0;-9.0;-9.0;10.0;71.0;35.0;28.0;34.0;13.0;5.0;4.0;7.0;8.0;-5.0;10.0;-5.0;-7.0;-6.0;4.0;-1.0;-2.0;-2.0;-3.0;64.0;-42.0;1.0;-2.0;-40.0;1.0;14:30:00;1.0;ING;SAN
KAI X D98 04-08-2017;1.0;2017-08-04;10.0;-12.0;-4.0;-4.0;-4.0;-5.0;-5.0;-10.0;-68.0;-43.0;-28.0;5.0;-19.0;-13.0;-10.0;-3.0;-7.0;-9.0;-11.0;25.0;3.0;-8.0;-6.0;-10.0;-13.0;-2.0;-5.0;-47.0;-32.0;-24.0;-15.0;-7.0;2.0;4.0;100.0;54.0;26.0;44.0;19.0;-7.0;5.0;-10.0;-13.0;-14.0;-14.0;-7.0;-14.0;11.0;1.0;-1.0;-31.0;28.0;3.0;-23.0;-14.0;-8.0;-10.0;-9.0;-31.0;-23.0;24.0;4.0;-32.0;-21.0;14.0;-31.0;-39.0;-12.0;-27.0;-21.0;-15.0;-87.0;-89.0;-52.0;-4.0;-4.0;1.0;1.0;-12.0;-2.0;-4.0;-14.0;-10.0;-7.0;51.0;32.0;20.0;12.0;3.0;-9.0;-45.0;10.0;1.0;16:30:00;0.0;D98;KAI
DUI X BOC 05-08-2017;1.0;2017-08-05;8.0;11.0;-7.0;-1.0;-3.0;-2.0;-2.0;40.0;26.0;40.0;27.0;-4.0;15.0;5.0;1.0;44.0;20.0;19.0;48.0;25.0;8.0;3.0;-8.0;-2.0;-24.0;-21.0;-13.0;-49.0;-37.0;-24.0;-42.0;37.0;5.0;7.0;-5.0;-55.0;-30.0;-41.0;-19.0;-31.0;15.0;-1.0;-5.0;-41.0;-58.0;2.0;-33.0;32.0;9.0;10.0;10.0;8.0;-12.0;-11.0;-22.0;-18.0;1.0;-36.0;-48.0;-31.0;-15.0;32.0;22.0;-34.0;27.0;-29.0;-21.0;6.0;-36.0;-7.0;-4.0;2.0;3.0;5.0;1.0;-7.0;4.0;-2.0;36.0;-2.0;44.0;24.0;-22.0;-45.0;-52.0;-40.0;-25.0;-14.0;-51.0;23.0;-30.0;25.0;1.0;09:00:00;0.0;BOC;DUI
EBR X HEI 05-08-2017;0.0;2017-08-05;1.0;-28.0;17.0;-45.0;-27.0;-18.0;19.0;3.0;-6.0;-6.0;7.0;1.0;-3.0;-4.0;-9.0;-8.0;-33.0;-27.0;22.0;5.0;-8.0;79.0;1.0;42.0;19.0;7.0;-5.0;-26.0;-46.0;-53.0;-37.0;-11.0;-10.0;7.0;-3.0;-4.0;-7.0;-28.0;-40.0;-36.0;;-53.0;-25.0;-55.0;-64.0;12.0;-38.0;-22.0;-15.0;-7.0;-3.0;-3.0;-3.0;-3.0;-1.0;-5.0;2.0;-97.0;-37.0;-31.0;-23.0;-18.0;4.0;4.0;1.0;-6.0;30.0;-31.0;11.0;31.0;13.0;49.0;27.0;17.0;29.0;19.0;9.0;11.0;20.0;88.0;45.0;21.0;11.0;35.0;9.0;-31.0;-21.0;-80.0;-57.0;1.0;-91.0;70.0;2.0;11:30:00;1.0;HEI;EBR
JAH X NUR 06-08-2017;1.0;2017-08-06;-3.0;17.0;7.0;35.0;11.0;-5.0;-4.0;-28.0;-52.0;-21.0;-6.0;-3.0;26.0;17.0;12.0;6.0;33.0;17.0;9.0;1.0;-55.0;-38.0;-9.0;-6.0;-36.0;-25.0;-39.0;-47.0;-28.0;-79.0;-71.0;-40.0;-22.0;-7.0;-68.0;-61.0;-34.0;-20.0;-12.0;0.0;-20.0;-5.0;5.0;1.0;-35.0;-9.0;31.0;6.0;4.0;-30.0;-13.0;-16.0;-41.0;-32.0;-14.0;-36.0;-7.0;-33.0;-54.0;-7.0;-9.0;33.0;10.0;4.0;5.0;4.0;5.0;-6.0;-5.0;1.0;1.0;-4.0;-2.0;-46.0;-26.0;-9.0;-79.0;-46.0;-6.0;-23.0;-13.0;-7.0;1.0;36.0;34.0;28.0;15.0;13.0;9.0;38.0;4.0;10.0;0.0;09:30:00;-1.0;NUR;JAH
AUE X DUS 06-08-2017;2.0;2017-08-06;-10.0;-2.0;2.0;-8.0;-11.0;-7.0;-19.0;-8.0;-5.0;-21.0;-14.0;-5.0;22.0;39.0;20.0;5.0;-3.0;5.0;5.0;-6.0;2.0;2.0;-3.0;2.0;32.0;31.0;25.0;17.0;12.0;7.0;6.0;5.0;5.0;2.0;35.0;17.0;1.0;-30.0;-62.0;-42.0;;-27.0;-13.0;-78.0;-41.0;2.0;33.0;7.0;6.0;16.0;-28.0;34.0;14.0;11.0;9.0;10.0;7.0;7.0;7.0;7.0;38.0;30.0;-31.0;15.0;8.0;52.0;35.0;-5.0;52.0;34.0;18.0;11.0;30.0;19.0;35.0;59.0;38.0;64.0;6.0;100.0;100.0;100.0;63.0;38.0;20.0;11.0;-3.0;-3.0;-4.0;1.0;-5.0;-55.0;0.0;11:30:00;-1.0;DUS;AUE
FUR X ARM 06-08-2017;2.0;2017-08-06;4.0;1.0;5.0;3.0;23.0;1.0;-37.0;-13.0;-1.0;-2.0;21.0;5.0;14.0;7.0;3.0;4.0;8.0;12.0;15.0;16.0;43.0;3.0;4.0;54.0;35.0;-27.0;-2.0;3.0;4.0;4.0;-5.0;-15.0;-15.0;9.0;-11.0;-36.0;-91.0;-48.0;-29.0;-18.0;;44.0;25.0;13.0;35.0;47.0;19.0;-22.0;-14.0;-93.0;-46.0;-22.0;-13.0;-9.0;-8.0;8.0;3.0;9.0;9.0;8.0;9.0;8.0;7.0;7.0;-17.0;-4.0;24.0;47.0;20.0;22.0;94.0;61.0;39.0;53.0;40.0;22.0;-21.0;-5.0;28.0;-1.0;5.0;5.0;59.0;79.0;89.0;55.0;40.0;22.0;12.0;13.0;6.0;30.0;1.0;11:30:00;-1.0;ARM;FUR
