game;away_score;data;form_minute_-11;form_minute_-13;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CHA X CFC 09-05-2015;;;;;1.0;9.0;29.0;16.0;42.0;27.0;9.0;32.0;-27.0;-3.0;4.0;1.0;4.0;43.0;29.0;53.0;37.0;23.0;12.0;13.0;6.0;4.0;-20.0;9.0;81.0;14.0;9.0;47.0;28.0;-14.0;2.0;2.0;7.0;-86.0;9.0;12.0;11.0;10.0;9.0;9.0;0.0;8.0;-32.0;-6.0;-40.0;-46.0;-25.0;24.0;10.0;26.0;19.0;-39.0;-11.0;-36.0;-21.0;-12.0;-27.0;27.0;-34.0;-14.0;-37.0;-26.0;-11.0;77.0;44.0;29.0;18.0;-36.0;21.0;8.0;-19.0;-12.0;-11.0;-6.0;-2.0;2.0;6.0;5.0;-11.0;-9.0;-2.0;-10.0;-4.0;-1.0;-3.0;2.0;-4.0;32.0;14.0;14.0;-9.0;0.0;;;;;
PAL X CAM 09-05-2015;;;;;2.0;3.0;3.0;9.0;7.0;6.0;35.0;23.0;55.0;69.0;43.0;3.0;18.0;6.0;-35.0;-32.0;-18.0;-10.0;-5.0;-45.0;-65.0;-43.0;3.0;-60.0;-30.0;-44.0;-52.0;-30.0;101.0;50.0;32.0;17.0;40.0;-3.0;12.0;12.0;13.0;28.0;35.0;6.0;45.0;3.0;-10.0;-3.0;-26.0;2.0;-15.0;-48.0;-100.0;-40.0;-16.0;21.0;14.0;59.0;46.0;54.0;2.0;32.0;21.0;-28.0;38.0;10.0;7.0;-88.0;-45.0;-27.0;33.0;-3.0;11.0;15.0;16.0;6.0;-38.0;53.0;44.0;28.0;19.0;16.0;2.0;12.0;7.0;100.0;62.0;29.0;18.0;-73.0;-41.0;-2.0;23.0;2.0;-4.0;110.0;;;;;
FLU X JOI 10-05-2015;;;;;1.0;38.0;26.0;11.0;17.0;7.0;10.0;36.0;26.0;45.0;27.0;-5.0;21.0;10.0;6.0;1.0;21.0;12.0;73.0;43.0;26.0;-50.0;41.0;-19.0;61.0;27.0;57.0;38.0;48.0;25.0;15.0;12.0;8.0;2.0;8.0;6.0;44.0;56.0;34.0;2.0;40.0;7.0;26.0;22.0;15.0;7.0;10.0;37.0;22.0;14.0;-19.0;-4.0;-3.0;-1.0;-4.0;7.0;24.0;4.0;3.0;3.0;-4.0;7.0;4.0;-4.0;2.0;41.0;25.0;75.0;56.0;45.0;28.0;5.0;4.0;2.0;2.0;-4.0;42.0;25.0;47.0;21.0;-14.0;-29.0;-14.0;-7.0;-4.0;46.0;59.0;71.0;83.0;64.0;1.0;50.0;;;;;
GRE X PON 10-05-2015;;;;;6.0;12.0;12.0;7.0;4.0;-10.0;-24.0;-14.0;-13.0;-7.0;-8.0;3.0;-8.0;-24.0;-18.0;-11.0;-1.0;75.0;45.0;32.0;19.0;21.0;2.0;-11.0;-21.0;-33.0;-24.0;-30.0;-22.0;-11.0;-10.0;-5.0;-7.0;1.0;-4.0;-2.0;3.0;-3.0;18.0;-8.0;10.0;-12.0;-35.0;-18.0;-4.0;6.0;-4.0;-5.0;9.0;68.0;43.0;100.0;61.0;39.0;22.0;16.0;8.0;67.0;44.0;-32.0;-74.0;-40.0;-100.0;-56.0;-32.0;-5.0;14.0;5.0;15.0;12.0;11.0;15.0;11.0;35.0;30.0;16.0;100.0;74.0;3.0;36.0;19.0;10.0;-3.0;-2.0;-22.0;-19.0;-42.0;-26.0;49.0;12.0;40.0;-200.0;;;;;
CAP X INT 10-05-2015;;;;;1.0;-35.0;-11.0;-5.0;-33.0;81.0;39.0;18.0;11.0;-20.0;-6.0;1.0;-8.0;-4.0;-42.0;-23.0;-18.0;-30.0;-12.0;-4.0;6.0;2.0;1.0;-25.0;-22.0;-13.0;-7.0;-4.0;-1.0;-1.0;-5.0;-8.0;-5.0;1.0;-3.0;-32.0;-19.0;-6.0;-8.0;-4.0;0.0;-6.0;-2.0;2.0;2.0;-5.0;31.0;10.0;4.0;-2.0;68.0;36.0;20.0;10.0;-12.0;-10.0;-1.0;-27.0;-53.0;-18.0;-12.0;-8.0;19.0;84.0;47.0;26.0;13.0;-4.0;39.0;16.0;-22.0;-28.0;-18.0;-75.0;-100.0;-96.0;-62.0;-53.0;6.0;-27.0;30.0;-26.0;-7.0;-9.0;-46.0;-30.0;-47.0;-48.0;40.0;7.0;-31.0;-45.0;;;;;
CRU X COR 10-05-2015;;;;;1.0;5.0;-6.0;-1.0;-6.0;-4.0;-38.0;-22.0;-13.0;-37.0;30.0;1.0;1.0;5.0;3.0;-6.0;-8.0;-4.0;-3.0;-2.0;-1.0;-61.0;5.0;-51.0;-31.0;-24.0;-45.0;30.0;9.0;45.0;26.0;17.0;7.0;3.0;3.0;15.0;2.0;-6.0;-3.0;5.0;5.0;1.0;25.0;14.0;13.0;1.0;8.0;-5.0;6.0;32.0;18.0;16.0;5.0;2.0;51.0;19.0;5.0;11.0;7.0;-5.0;-28.0;-21.0;-7.0;-9.0;-5.0;1.0;6.0;8.0;2.0;2.0;6.0;8.0;10.0;6.0;12.0;10.0;14.0;12.0;9.0;51.0;68.0;-92.0;-26.0;34.0;11.0;7.0;15.0;12.0;5.0;10.0;3.0;-5.0;;;;;
SPT X FIG 10-05-2015;;;;;43.0;21.0;9.0;11.0;3.0;3.0;23.0;46.0;24.0;11.0;14.0;33.0;8.0;79.0;54.0;39.0;25.0;12.0;8.0;4.0;12.0;7.0;82.0;5.0;2.0;-5.0;-2.0;-30.0;-18.0;31.0;12.0;7.0;12.0;41.0;17.0;38.0;18.0;11.0;1.0;-5.0;0.0;1.0;-25.0;-53.0;-31.0;27.0;-17.0;81.0;63.0;66.0;45.0;32.0;53.0;36.0;20.0;12.0;16.0;17.0;27.0;16.0;10.0;81.0;48.0;22.0;14.0;9.0;-34.0;-38.0;-45.0;31.0;3.0;2.0;24.0;22.0;11.0;7.0;95.0;56.0;-19.0;29.0;-29.0;-5.0;-8.0;17.0;2.0;5.0;9.0;81.0;43.0;43.0;27.0;-10.0;;;;;
SPO X FLA 10-05-2015;;;;;7.0;-39.0;-33.0;-18.0;-6.0;-7.0;2.0;-4.0;2.0;7.0;11.0;5.0;38.0;23.0;14.0;9.0;5.0;1.0;1.0;1.0;1.0;-10.0;-19.0;-13.0;-12.0;-6.0;-8.0;-3.0;6.0;33.0;20.0;18.0;6.0;-11.0;-40.0;-22.0;-7.0;61.0;54.0;31.0;;19.0;12.0;-4.0;-4.0;-5.0;27.0;-29.0;32.0;15.0;11.0;11.0;5.0;-39.0;-20.0;-10.0;-1.0;-5.0;-1.0;3.0;3.0;33.0;41.0;21.0;9.0;7.0;-29.0;2.0;-15.0;-7.0;-2.0;2.0;78.0;48.0;30.0;29.0;19.0;-14.0;33.0;-2.0;77.0;45.0;33.0;16.0;-19.0;-85.0;-54.0;-37.0;-20.0;21.0;1.0;5.0;;;;;
AVA X SAN 10-05-2015;;;;;1.0;1.0;-4.0;6.0;2.0;7.0;-5.0;-5.0;-32.0;-18.0;11.0;1.0;1.0;1.0;3.0;2.0;-40.0;-21.0;-11.0;-80.0;-46.0;-23.0;6.0;-7.0;32.0;27.0;12.0;9.0;6.0;2.0;2.0;43.0;27.0;44.0;-79.0;-40.0;32.0;2.0;2.0;2.0;15.0;2.0;30.0;18.0;10.0;31.0;5.0;2.0;-5.0;-3.0;-2.0;-1.0;-1.0;-1.0;5.0;32.0;24.0;18.0;-31.0;30.0;10.0;88.0;52.0;28.0;20.0;12.0;-5.0;15.0;-1.0;21.0;-30.0;-20.0;31.0;6.0;3.0;4.0;4.0;1.0;4.0;26.0;11.0;-35.0;41.0;14.0;47.0;59.0;73.0;41.0;25.0;1.0;17.0;50.0;;;;;
VAS X GOI 10-05-2015;;;;;12.0;8.0;12.0;14.0;10.0;14.0;11.0;3.0;4.0;5.0;10.0;8.0;13.0;11.0;4.0;5.0;5.0;35.0;18.0;14.0;16.0;12.0;11.0;3.0;-2.0;14.0;10.0;44.0;59.0;43.0;48.0;30.0;11.0;13.0;16.0;50.0;24.0;21.0;14.0;2.0;25.0;2.0;-4.0;2.0;2.0;14.0;1.0;7.0;15.0;10.0;2.0;2.0;6.0;-5.0;1.0;-20.0;9.0;-15.0;-9.0;-4.0;-7.0;-2.0;1.0;1.0;-5.0;-11.0;-6.0;12.0;-48.0;-28.0;36.0;7.0;10.0;9.0;-21.0;-11.0;35.0;-21.0;18.0;-2.0;-5.0;5.0;9.0;24.0;23.0;12.0;-7.0;4.0;7.0;11.0;7.0;-5.0;;;;;
